year,total,E_index_share,H_index_share,Gap_share
2000,1,0.0,0.0,0.0
2002,1,0.0,0.0,0.0
2004,2,0.0,0.5,0.5
2005,2,0.0,0.5,0.5
2006,4,0.0,0.0,0.0
2007,3,0.0,0.3333333333333333,0.3333333333333333
2008,7,0.0,0.0,0.0
2009,18,0.0,0.05555555555555555,0.05555555555555555
2010,9,0.0,0.2222222222222222,0.2222222222222222
2011,13,0.07692307692307693,0.38461538461538464,0.3076923076923077
2012,11,0.0,0.09090909090909091,0.09090909090909091
2013,12,0.0,0.3333333333333333,0.3333333333333333
2014,13,0.0,0.07692307692307693,0.07692307692307693
2015,18,0.0,0.2222222222222222,0.2222222222222222
2016,22,0.0,0.045454545454545456,0.045454545454545456
2017,24,0.08333333333333333,0.16666666666666666,0.08333333333333333
2018,31,0.0,0.16129032258064516,0.16129032258064516
2019,84,0.011904761904761904,0.14285714285714285,0.13095238095238093
2020,152,0.006578947368421052,0.16447368421052633,0.15789473684210528
2021,193,0.015544041450777202,0.3005181347150259,0.2849740932642487
2022,318,0.012578616352201259,0.22955974842767296,0.2169811320754717
2023,455,0.017582417582417582,0.25274725274725274,0.23516483516483516
2024,1210,0.06611570247933884,0.24793388429752067,0.18181818181818182
2025,1663,0.09921828021647625,0.25435959110042095,0.1551413108839447
